,BTC,ETH,BNB,SOL,SPY,NVDA,Oil,Gold,Nasdaq,Energy,Layer0,SmartContract,Lending,Exchange,SocialTokens,Gaming,RealWorldAssets,Energy_Median,Layer0_Median,SmartContract_Median,Lending_Median,Exchange_Median,SocialTokens_Median,Gaming_Median,RealWorldAssets_Median,BTC_pct_change,ETH_pct_change,BNB_pct_change,SOL_pct_change,SPY_pct_change,NVDA_pct_change,Oil_pct_change,Gold_pct_change,Nasdaq_pct_change,Energy_pct_change,Layer0_pct_change,SmartContract_pct_change,Lending_pct_change,Exchange_pct_change,SocialTokens_pct_change,Gaming_pct_change,RealWorldAssets_pct_change,Energy_Median_pct_change,Layer0_Median_pct_change,SmartContract_Median_pct_change,Lending_Median_pct_change,Exchange_Median_pct_change,SocialTokens_Median_pct_change,Gaming_Median_pct_change,RealWorldAssets_Median_pct_change,Corr_ETH,Corr_BNB,Corr_SOL,Corr_SPY,Corr_NVDA,Corr_Oil,Corr_Gold,Corr_Nasdaq
2024-01-22,39507.367188,2310.826416,305.437012,83.62281,480.40274,59.646305,75.19,2022.2,15360.29,0.3103538923,6.332631827,0.04595237058,0.0005044349116,0.3594476515,4.645720788,0.2808002664,0.02577154508,0.3103538923,6.332631827,0.04595237058,0.0005044349116,0.3594476515,4.645720788,0.2808002664,0.02577154508,-0.04906437464946101,-0.05830959165438032,-0.040467880782182775,-0.07953493177438808,0.0021143783548032147,0.0027399106768173365,0.024247377741452025,-0.0034987434090573144,0.003221219818208887,-0.07506290865007914,-0.07025214180784556,-0.027686491682780145,-0.060182244328067735,-0.07559262580989645,-0.00622352656922609,0.0017922138461192727,-0.10545545203104578,-0.07506290865007914,-0.07025214180784556,-0.027686491682780145,-0.060182244328067735,-0.07559262580989645,-0.00622352656922609,0.0017922138461192727,-0.10545545203104578,0.884508794777803,0.6487127886535676,0.8681803796815833,0.8474993622931455,0.5288425880735872,-0.8437987616311623,0.63954301342013,0.8128599346753267
2024-01-23,39845.550781,2240.686035,298.4039,84.274506,481.803833,59.865276,74.37,2025.8,15425.94,0.3095267971,6.358272302,0.04396801306,0.0004936004163,0.348612163,4.729500843,0.2816999461,0.02522206164,0.3095267971,6.358272302,0.04396801306,0.0004936004163,0.348612163,4.729500843,0.2816999461,0.02522206164,0.008560013411947232,-0.030352942356185908,-0.023026390789862572,0.0077932803262650285,0.0029164966877581744,0.003671157836181216,-0.010905705545950162,0.0017802393432895247,0.004274007847508088,-0.0026650066924261973,0.004048944530562704,-0.04318291950891562,-0.021478480277335454,-0.0301448304218509,0.018033811936439603,0.003203984495934842,-0.021321323121849756,-0.0026650066924261973,0.004048944530562704,-0.04318291950891562,-0.021478480277335454,-0.0301448304218509,0.018033811936439603,0.003203984495934842,-0.021321323121849756,0.8803091851671048,0.6369900393584088,0.8626095474422317,0.8322568781093467,0.49227043353498656,-0.8427097093051452,0.6370088645495943,0.7948818845746117
2024-01-24,40077.074219,2233.561768,293.091431,88.73201,482.330505,61.354084,75.09,2016.0,15481.92,0.3183419439,6.461404134,0.0447668834,0.0005042862116,0.3491394296,4.632001638,0.2854387966,0.02510628745,0.3183419439,6.461404134,0.0447668834,0.0005042862116,0.3491394296,4.632001638,0.2854387966,0.02510628745,0.005810521713516037,-0.0031795025669448806,-0.01780294761563106,0.052892674327868594,0.0010931253840813504,0.02486930821132427,0.009681323114158813,-0.004837595024187902,0.003628952271303998,0.028479430157874353,0.016220103056542756,0.01816935277265852,0.02164867562329076,0.0015124733327218642,-0.020615115259849492,0.013272457278613592,-0.004590195347726533,0.028479430157874353,0.016220103056542756,0.01816935277265852,0.02164867562329076,0.0015124733327218642,-0.020615115259849492,0.013272457278613592,-0.004590195347726533,0.8758163289276014,0.6266684913119881,0.8555733562724734,0.8167060305664168,0.44924260624129014,-0.8374160212155103,0.6357374882368907,0.7757840223558297
2024-01-25,39933.808594,2217.710205,291.919281,86.889214,484.953857,61.609047,77.36,2017.8,15510.5,0.3087459669,6.434602413,0.04423140315,0.0004991562853,0.3359877272,4.830109518,0.2833578469,0.02417606413,0.3087459669,6.434602413,0.04423140315,0.0004991562853,0.3359877272,4.830109518,0.2833578469,0.02417606413,-0.003574752593393682,-0.007096988866439169,-0.003999263970293265,-0.02076810837486953,0.0054389095709383994,0.004155599487069228,0.030230390198428436,0.0008928571428570287,0.001846024265724111,-0.03014361501484808,-0.004147971624150371,-0.01196152622945379,-0.010172648353250935,-0.03766891185870236,0.04276938902066951,-0.007290353395499105,-0.03705140880954905,-0.03014361501484808,-0.004147971624150371,-0.01196152622945379,-0.010172648353250935,-0.03766891185870236,0.04276938902066951,-0.007290353395499105,-0.03705140880954905,0.8705569832174535,0.6158822977014057,0.847862791779892,0.7967715959628067,0.4040122038906129,-0.8327434186721779,0.635455642565114,0.7525637741941055
2024-01-26,41816.871094,2267.199707,302.317993,92.442368,484.337769,61.023125,78.01,2017.3,15455.36,0.3184455328,6.671162535,0.04541007029,0.0005193893973,0.3508353666,4.933730883,0.2885749615,0.02533594256,0.3184455328,6.671162535,0.04541007029,0.0005193893973,0.3508353666,4.933730883,0.2885749615,0.02533594256,0.04715459322061566,0.022315585638025492,0.03562187452770549,0.06391074040559297,-0.0012704054027145029,-0.009510324027573347,0.00840227507755964,-0.00024779462781243655,-0.0035550111214982527,0.03141600843369585,0.03676375117164521,0.026647744725683653,0.040534623315099605,0.04419101710569873,0.02145321231616837,0.018411752690375316,0.04797631342153452,0.03141600843369585,0.03676375117164521,0.026647744725683653,0.040534623315099605,0.04419101710569873,0.02145321231616837,0.018411752690375316,0.04797631342153452,0.865563835306038,0.6085881722269456,0.8418502671891672,0.7852056704569648,0.3762237835050182,-0.8207754760988798,0.6334536795213971,0.738491901628434
2024-01-27,42120.054688,2267.885986,305.824829,94.163216,484.337769,61.023125,78.01,2017.3,15455.36,0.3235768244,6.667725297,0.04553067506,0.000528789157,0.3583033088,4.752170119,0.2946764946,0.0267141912,0.3235768244,6.667725297,0.04553067506,0.000528789157,0.3583033088,4.752170119,0.2946764946,0.0267141912,0.00725026971335252,0.00030269896290158194,0.011599825618053838,0.0186153604373267,0.0,0.0,0.0,0.0,0.0,0.01611356125765706,-0.0005152382335112948,0.0026559036185098694,0.018097711945726846,0.021286172692260186,-0.03679989207064338,0.021143667726002624,0.054398948716277706,0.01611356125765706,-0.0005152382335112948,0.0026559036185098694,0.018097711945726846,0.021286172692260186,-0.03679989207064338,0.021143667726002624,0.054398948716277706,0.8607507159309465,0.6018794343892144,0.8361509089508915,0.7760249227476835,0.3515459173048488,-0.8096155874978105,0.6305086581358103,0.7266304709273065
2024-01-28,42035.59375,2257.20874,304.975616,95.937981,484.337769,61.023125,78.01,2017.3,15455.36,0.314595767,6.869116611,0.04521568577,0.0005184898443,0.3448735256,4.590125143,0.2732676587,0.02575526229,0.314595767,6.869116611,0.04521568577,0.0005184898443,0.3448735256,4.590125143,0.2732676587,0.02575526229,-0.002005242838016952,-0.004708017098704276,-0.002776795470717075,0.01884775260861926,0.0,0.0,0.0,0.0,0.0,-0.027755564437142,0.03020390088515068,-0.0069181774613468194,-0.019477163182451518,-0.03748160530523126,-0.03409915300635302,-0.07265199733375671,-0.03589586159733704,-0.027755564437142,0.03020390088515068,-0.0069181774613468194,-0.019477163182451518,-0.03748160530523126,-0.03409915300635302,-0.07265199733375671,-0.03589586159733704,0.8552973536262359,0.5948104970363837,0.8296392301822597,0.7640091988146523,0.32644417411438953,-0.7892146319571359,0.6310104440116189,0.7120042284295358
2024-01-29,43288.246094,2317.064209,310.708008,101.566666,488.173431,62.45694,76.78,2025.4,15628.04,0.3209014762,7.031054386,0.04592854361,0.0005272971656,0.3713589108,4.633501131,0.2677622186,0.0269241128,0.3209014762,7.031054386,0.04592854361,0.0005272971656,0.3713589108,4.633501131,0.2677622186,0.0269241128,0.02979980136476601,0.026517471751416277,0.018796230581267226,0.058670038094714494,0.007919394780876665,0.023496256542089533,-0.015767209332136933,0.004015267932385047,0.011172822891217127,0.02004384629879641,0.023574759924831934,0.015765719967758773,0.016986487578923626,0.07679738580664197,0.009449848674855765,-0.020146694732156467,0.04538297831483673,0.02004384629879641,0.023574759924831934,0.015765719967758773,0.016986487578923626,0.07679738580664197,0.009449848674855765,-0.020146694732156467,0.04538297831483673,0.8499895096160869,0.5897557437248468,0.8247796004150333,0.7543928030709277,0.30864305521741153,-0.7673475296550358,0.6263224851572344,0.6999095043376816
2024-01-30,42952.609375,2344.493652,307.462738,101.472977,487.795868,62.765896,77.82,2050.9,15509.9,0.3140621523,6.838407603,0.04467275711,0.0005025099521,0.3623221274,4.584255961,0.2958970882,0.0263221722,0.3140621523,6.838407603,0.04467275711,0.0005025099521,0.3623221274,4.584255961,0.2958970882,0.0263221722,-0.00775353009847457,0.011838015922674083,-0.010444758153771216,-0.0009224384701177479,-0.0007734198053888086,0.004946704081243647,0.013545194060953225,0.01259010565814167,-0.007559489225776317,-0.02131284648792764,-0.027399415851993902,-0.02734217985798648,-0.04700805374478956,-0.024334365319341522,-0.010628069057872835,0.10507408306931332,-0.022356933521686884,-0.02131284648792764,-0.027399415851993902,-0.02734217985798648,-0.04700805374478956,-0.024334365319341522,-0.010628069057872835,0.10507408306931332,-0.022356933521686884,0.8459002675573,0.5841894070193557,0.820064961567562,0.7453825322100198,0.29451872411525754,-0.742031769215271,0.6227011279814856,0.6894875439907616
2024-01-31,42582.605469,2282.544434,300.351074,97.028709,479.836334,61.519058,75.85,2067.4,15164.01,0.3020419142,6.650911133,0.0434842815,0.0004853937901,0.3453287491,4.247046435,0.3296068552,0.02432908918,0.3020419142,6.650911133,0.0434842815,0.0004853937901,0.3453287491,4.247046435,0.3296068552,0.02432908918,-0.008614235814398574,-0.026423282463210573,-0.02313016545113844,-0.04379755213055392,-0.016317346091172635,-0.01986489605756603,-0.025314829092778157,0.008045248427519525,-0.02230123985325494,-0.03827343731796751,-0.027418147745060684,-0.026604035364854672,-0.034061339339591545,-0.04690129863705372,-0.07355818018644023,0.11392395648454379,-0.07571878965217016,-0.03827343731796751,-0.027418147745060684,-0.026604035364854672,-0.034061339339591545,-0.04690129863705372,-0.07355818018644023,0.11392395648454379,-0.07571878965217016,0.8396329516301604,0.5781186511120584,0.8139400079400523,0.7344274711260282,0.2782744815813481,-0.7252178372978836,0.6206122609781082,0.6764326310848715
2024-02-01,43075.773438,2303.824707,300.175903,97.846695,486.116486,63.018867,73.82,2071.1,15361.64,0.3114301622,6.791709188,0.04288402356,0.0004933599923,0.3450714034,4.525140921,0.3052204,0.02437889168,0.3114301622,6.791709188,0.04288402356,0.0004933599923,0.3450714034,4.525140921,0.3052204,0.02437889168,0.011581441848574014,0.009323048735882855,-0.0005832208211113965,0.00843035023788663,0.013088112664682017,0.024379583315466302,-0.026763348714568203,0.00178968753023101,0.013032832344478829,0.03108259999234253,0.02116973933111188,-0.013804021115078169,0.016411833778011253,-0.000745219448628931,0.06547950210956444,-0.07398649274209634,0.0020470351204491255,0.03108259999234253,0.02116973933111188,-0.013804021115078169,0.016411833778011253,-0.000745219448628931,0.06547950210956444,-0.07398649274209634,0.0020470351204491255,0.8323555485870552,0.5718008846455587,0.8074207939945135,0.7225721177220068,0.2692267993773012,-0.7107673942149105,0.6222793182325644,0.6632060022733467
2024-02-02,43185.859375,2308.038086,301.154968,100.440521,491.234009,66.151466,72.28,2053.7,15628.95,0.3068630656,6.943493452,0.04328552238,0.0004961723901,0.3514238377,4.333515157,0.2974127819,0.02476110429,0.3068630656,6.943493452,0.04328552238,0.0004961723901,0.3514238377,4.333515157,0.2974127819,0.02476110429,0.0025556345995378926,0.0018288626678921727,0.0032616375605605263,0.026509081374695542,0.010527359485602794,0.04970890701668762,-0.02086155513410992,-0.008401332625175062,0.01740113685778355,-0.014664914174456367,0.022348463368864868,0.009362433528147251,0.005700498305281521,0.01840904299055013,-0.04234691633816645,-0.025580262983732505,0.01567801420248971,-0.014664914174456367,0.022348463368864868,0.009362433528147251,0.005700498305281521,0.01840904299055013,-0.04234691633816645,-0.025580262983732505,0.01567801420248971,0.8251486950681616,0.5680922449805037,0.8012474111826269,0.7088824871351105,0.26097073190472375,-0.6982402019009449,0.6229647630306507,0.6479982257660903
2024-02-03,42992.25,2296.03833,299.736725,97.879982,491.234009,66.151466,72.28,2053.7,15628.95,0.3043031763,6.825685784,0.04322583286,0.0004918929069,0.3455333354,4.392152218,0.3258723838,0.02417716631,0.3043031763,6.825685784,0.04322583286,0.0004918929069,0.3455333354,4.392152218,0.3258723838,0.02417716631,-0.0044831659668692625,-0.005199115245449248,-0.004709346186180241,-0.0254930875955931,0.0,0.0,0.0,0.0,0.0,-0.008342122552268516,-0.016966627651397448,-0.0013789719222050412,-0.008624992614235216,-0.016761817691572145,0.013531061707556802,0.0956905810106341,-0.023582873088411782,-0.008342122552268516,-0.016966627651397448,-0.0013789719222050412,-0.008624992614235216,-0.016761817691572145,0.013531061707556802,0.0956905810106341,-0.023582873088411782,0.8174850520787303,0.5668856283893616,0.7938092523671962,0.6929576279913389,0.2500514231125977,-0.6835326812527471,0.6234770452165239,0.6301278253077393
2024-02-04,42583.582031,2289.546143,304.734161,95.476959,491.234009,66.151466,72.28,2053.7,15628.95,0.2971570218,6.665157446,0.04289001729,0.0004787178991,0.3363249463,4.18169119,0.3187476661,0.02337133929,0.2971570218,6.665157446,0.04289001729,0.0004787178991,0.3363249463,4.18169119,0.3187476661,0.02337133929,-0.009505619477929161,-0.0028275603743949107,0.01667275172903815,-0.02455070945967286,0.0,0.0,0.0,0.0,0.0,-0.023483667133841868,-0.023518272460811507,-0.007768862917867714,-0.02678430124766662,-0.026649785003638127,-0.04791751686963053,-0.021863520979957363,-0.03333008548924521,-0.023483667133841868,-0.023518272460811507,-0.007768862917867714,-0.02678430124766662,-0.026649785003638127,-0.04791751686963053,-0.021863520979957363,-0.03333008548924521,0.809051282040101,0.5705067689038333,0.7852326498561135,0.6737729434880376,0.23714882219363825,-0.6655768819598277,0.618655789058863,0.6086706344841795
2024-02-05,42658.667969,2298.888916,300.854034,95.54866,489.445343,69.323059,72.78,2042.9,15597.68,0.3003707144,6.728037946,0.04257741865,0.0004820146907,0.3356432487,4.198765996,0.3200900234,0.02503424942,0.3003707144,6.728037946,0.04257741865,0.0004820146907,0.3356432487,4.198765996,0.3200900234,0.02503424942,0.0017632602617916326,0.004080622279033053,-0.012732825841602846,0.0007509769974973768,-0.003641168907749681,0.04794440987898896,0.006917542888766004,-0.0052588011880994046,-0.0020007742042811305,0.010814796098485013,0.009434210745874694,-0.007288377570155102,0.006886710537036711,-0.002026901683920612,0.004083229780532882,0.004211347855261893,0.07115168323757626,0.010814796098485013,0.009434210745874694,-0.007288377570155102,0.006886710537036711,-0.002026901683920612,0.004083229780532882,0.004211347855261893,0.07115168323757626,0.8000532639141354,0.5690788746822424,0.7765103992540238,0.6559909545556017,0.22492615098930285,-0.6567855324530347,0.6070474263826175,0.5893460614884605
2024-02-06,43084.671875,2372.201904,302.710144,96.861076,490.866364,68.214203,73.31,2051.4,15609.0,0.3000018714,6.80557661,0.04275966239,0.0004856709172,0.3498899613,4.252846255,0.3131020338,0.0279286982,0.3000018714,6.80557661,0.04275966239,0.0004856709172,0.3498899613,4.252846255,0.3131020338,0.0279286982,0.009986338680560092,0.031890617893605144,0.006169470208931882,0.013735577244097463,0.0029033292896198937,-0.0159954857156549,0.007282220390217198,0.004160751872338331,0.0007257489575371867,-0.0012279592593997801,0.01152470670087391,0.004280290956530486,0.0075853009680892924,0.042445997812200265,0.012880036432494801,-0.021831325843190807,0.1156195550918977,-0.0012279592593997801,0.01152470670087391,0.004280290956530486,0.0075853009680892924,0.042445997812200265,0.012880036432494801,-0.021831325843190807,0.1156195550918977,0.7911111432010475,0.5684677875480348,0.7676061465256501,0.6390048837117974,0.21946127595363263,-0.6596334109762669,0.5907583447339371,0.5712398957615079
2024-02-07,44318.222656,2423.745117,307.634583,100.979279,494.960388,70.089951,73.86,2051.7,15756.64,0.2991160231,6.938768237,0.04236578182,0.0004993836081,0.3642550242,4.292068211,0.3101385905,0.0291716856,0.2991160231,6.938768237,0.04236578182,0.0004993836081,0.3642550242,4.292068211,0.3101385905,0.0291716856,0.028630850075378467,0.021728004228092068,0.016267836072252795,0.04251659355921267,0.00834040443643036,0.027497909782805863,0.0075023871231754136,0.00014624159110843138,0.00945864565314869,-0.0029528092470425538,0.019570954032651633,-0.00921149859434156,0.028234531684657282,0.04105594469366114,0.00922251914324157,-0.009464784575283214,0.04450574069363533,-0.0029528092470425538,0.019570954032651633,-0.00921149859434156,0.028234531684657282,0.04105594469366114,0.00922251914324157,-0.009464784575283214,0.04450574069363533,0.7938419325504917,0.5710575548577946,0.7620022148274846,0.629473695664515,0.2292607978783723,-0.6538995228637614,0.5793473765481323,0.5604937493803148
2024-02-08,45301.566406,2419.906494,318.871887,102.785637,495.178986,69.632011,76.22,2047.9,15793.71,0.2995171548,7.012965388,0.04251862678,0.0004909555088,0.3670990886,4.23290294,0.3580644097,0.02820559721,0.2995171548,7.012965388,0.04251862678,0.0004909555088,0.3670990886,4.23290294,0.3580644097,0.02820559721,0.022188248784992037,-0.0015837568781784661,0.03652809086161812,0.017888402629612665,0.0004416474637158885,-0.006533604225233303,0.031952342269157885,-0.001852122630013997,0.002352658942515573,0.001341057211989849,0.010693130029095776,0.003607745530329165,-0.016877004297490394,0.007807893401734933,-0.013784792806500024,0.15453033149707318,-0.03311733175953335,0.001341057211989849,0.010693130029095776,0.003607745530329165,-0.016877004297490394,0.007807893401734933,-0.013784792806500024,0.15453033149707318,-0.03311733175953335,0.7935511628017131,0.5763154790841694,0.7599899324362827,0.6276143350118457,0.2504125403695459,-0.6200619950192863,0.5648182262342014,0.5590229231184234
2024-02-09,47147.199219,2487.515625,323.842285,106.933334,498.040863,72.123695,76.84,2038.7,15990.66,0.3063321132,7.196876963,0.04416381335,0.0005129864715,0.3749840399,4.321586368,0.4202123349,0.0300353683,0.3063321132,7.196876963,0.04416381335,0.0005129864715,0.3749840399,4.321586368,0.4202123349,0.0300353683,0.04074103743917257,0.02793873695848692,0.015587444997934297,0.0403528851020305,0.005779479907089602,0.035783599586115544,0.008134347940173203,-0.0044924068558035435,0.012470154257612664,0.022753148828989822,0.026224509151962172,0.03869331383895647,0.04487364395573912,0.021479081656319954,0.02095097129725354,0.17356632917544057,0.06487262355683354,0.022753148828989822,0.026224509151962172,0.03869331383895647,0.04487364395573912,0.021479081656319954,0.02095097129725354,0.17356632917544057,0.06487262355683354,0.7945213819121385,0.5852902692577402,0.7583088474689743,0.6319315988003767,0.28857182990553065,-0.5634013850285371,0.5381047187612685,0.5662548244200518
